PROJECT,DATE,LOCALITY,STATE,COUNTRY,Lat,Long
Mizugama,2016-2018,Mizugama,Okinawa,Japan,26.360089,127.739622
Iwotorishima,2016,Iwotorishima,Kyushyu,Japan,27.87075555,128.233413
Red Sea,2017,Al-Lith,Al-Farasan,Saudi Arabia,19.5708,40.0087
Palau,2017-2018,,,Palau,7.539908,134.466898
Malaysia,2017,Bidong,Terengganu,Malaysia,5.597132,103.06268
Malaysia,2017,Payar,Kedah,Malaysia,6.063433,100.041312
Malaysia,2018,Redang,Terengganu,Malaysia,5.814953,103.009444
Taiwan,2017,DongSha,Nansha,Taiwan,27.87075555,128.233413
Taiwan,2018,DongSha,Nansha,Taiwan,20.7715,116.767617
Amami,2017,Amami,Kyushyu,Japan,28.294129,129.473726
Iriomote,2017,Iriomote,Okinawa,Japan,24.387017,123.746354
Kumejima,2018,Kumejima,Okinawa,Japan,26.333971,126.823107
Danjo-gunto,2018,Danjo,,Japan,32.028123,128.375533
Yucatan,2018,Madagascar Reef,Yukatan,Maxico,21.439116,-90.284785
